"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"137","04775912","振盛汽車有限公司","臺北市南港區成功路1段59號","闕河連","1000000","1040910"
"138","04780669","正倫交通有限公司","臺北市松山區南京東路4段120巷19弄23號","劉惠霖","4000000","1040902"
"139","04786256","雄義實業有限公司","新北市汐止區福德一路430巷2號1樓","張義雄","15000000","1040904"
"140","04790147","宇望實業股份有限公司","臺北市南港區南港路3段80巷46號5樓","黃瑞隆","35000000","1040925"
"141","04802571","齊麗企業有限公司","臺北市信義區基隆路1段149號6樓","洪世華","5000000","1040924"
"142","04803543","上水股份有限公司","臺北市中山區德惠街16之5號7樓","李憲章","87500000","1040924"
"143","04812016","實盈股份有限公司","臺北市南港區舊庄街1段59號1樓","黃凰洲","2086852100","1040915"
"144","04824033","仁華電子科技股份有限公司","新北市汐止區康寧街169巷29號11樓、11樓之1、11樓之3","余民雄","15000000","1040917"
"145","04847036","權鋒有限公司","新北市新店區民生路19號4樓","林琨珊","26500000","1040904"
"146","04865478","利達通運有限公司","臺北市文山區景興路21號2樓","許琀棋","65700000","1040925"
"147","04882814","百平投資股份有限公司","臺北市萬華區莒光路310號3樓","徐燕春","10000000","1040925"
"148","04892806","世群電器有限公司","臺北市文山區木柵路3段15號1樓","王愛雯","1000000","1040910"
"149","04895825","彰京開發股份有限公司","臺北市大安區基隆路2段164號10樓之2","吳文琪","200000000","1040922"
"150","04897470","勗呈有限公司","高雄市楠梓區新昌街111號","孫慧","10000000","1040904"
"151","04898479","華民企業股份有限公司","臺北市大安區臥龍街24號1樓","許良鈺","8000000","1040904"
"152","04927158","陸海股份有限公司","臺北市松山區復興北路99號13樓","何英津","783245750","1040915"
"153","04935404","安太國際股份有限公司","臺北市松山區敦化北路307號10樓","林倩如","13000000","1040916"
"154","04938839","日高工程實業股份有限公司","高雄市小港區其美街19巷4號","王炳增","252795000","1040910"
"155","04964218","林光企業股份有限公司","臺北市中山區中山北路2段20巷7之1號6樓","林仲光","1000000","1040902"
"156","04974813","大芹實業有限公司","桃園市桃園區瑞慶里寶慶路426號1樓","江怡然","30000000","1040902"
"157","04975637","愛友旅行社股份有限公司","高雄市三民區青島街12號1、2樓","林明哲","10000000","1040904"
"158","04977993","厚志建設有限公司","臺北市大安區師大路59巷3號","周黃婉玲","20150000","1040911"
"159","04979916","鐵福防銹有限公司","臺北市中山區濱江街303號","林亭儀","1500000","1040918"
"160","04984973","均億企業有限公司","臺北市大安區敦化南路2段77號9樓之6","鄭定","10000000","1040921"
"161","04987107","台芳香料化學股份有限公司","新北市新店區寶橋路235巷8號6樓","林棟樑","20000000","1040925"
"162","04987726","蘋果樹科技有限公司","臺北市大安區金華街223之8號5樓","黃華晉","6000000","1040903"
"163","04990074","漢廷開發股份有限公司","桃園市大溪區中正東路24-9號1樓","李秋燕","50000000","1040904"
"164","04990763","合馨貿易股份有限公司","臺北市大安區安和路2段16號7樓","徐璧誠","5000000","1040923"
"165","05008608","幸賀股份有限公司","新北市汐止區新台五路1段81號14樓之7","王源祥","138600000","1040917"
"166","05016500","上合貿易股份有限公司","臺北市中正區愛國西路9號2樓之8","戎偉德","20000000","1040908"
"167","05026021","亞聯工程顧問股份有限公司","臺北市松山區民生東路3段130巷9號11樓","李春茂","16152710","1040914"
"168","05026459","治源有限公司","新北市永和區智光街105巷5號3樓","王小玲","5000000","1040911"
"169","05027915","景華生技股份有限公司","新北市新店區寶強路6之3號4樓","林坤璁","4000000","1040904"
"170","05062567","新恭股份有限公司","桃園市龜山區龍壽里萬壽路1段492之1號","黃銀祥","45000000","1040924"
"171","05072925","中租迪和股份有限公司","臺北市內湖區瑞光路362號8樓至12樓","陳鳳龍","10189889630","1040921"
"172","05074212","林園國際投資控股股份有限公司","臺北市南港區重陽路166巷5號4樓","符玉鸞","245917000","1040917"
"173","05087498","彬台科技股份有限公司","臺北市內湖區瑞光路208號5樓","洪振攀","380417480","1040911"
"174","05094603","德勝科技股份有限公司","臺北市南港區南港路3段50巷21號5樓","林坤銘","519325320","1040930"
"175","05096362","交通信和煤油股份有限公司","臺北市中正區開封街1段105號8樓之2","張子偉","100000000","1040924"
"176","05105593","鴻基育樂股份有限公司","臺北市內湖區南京東路6段501號2樓","陳專銘","100000000","1040918"
"177","05129027","清泉育樂股份有限公司","臺北市中正區懷寧街78號5樓","徐崇雄","4000000","1040918"
"178","05148615","吉馬唱片錄音帶股份有限公司","臺北市信義區松德路159號10樓之2","李春祥","10000000","1040908"
"179","05156902","東服企業股份有限公司","臺北市中山區中山北路1段72號11樓之6","馮五鋒","50000000","1040925"
"180","05190660","新原窯業股份有限公司","苗栗縣通霄鎮五北里14鄰五北126之1號","姚福居","190000000","1040914"
"181","05255115","欣揚治具有限公司","臺北市大同區承德路2段80號","黃大豪","5000000","1040922"
"182","05257681","欣燁汽車材料有限公司","臺北市大同區長安西路145巷50號1樓","邱垂振","1500000","1040924"
"183","05260594","禾承企業有限公司","臺中市北區自強一街19號1樓","王俊珽","5000000","1040924"
"184","05406633","喬普汽車貨運有限公司","臺北市松山區撫遠街259之1號","康家維","3000000","1040909"
"185","05419237","尚智運動世界股份有限公司","臺北市萬華區峨嵋街125巷20之1號1樓","唐錦璋","150000000","1040909"
"186","05504825","瑋俐實業股份有限公司","新北市新店區民權路42巷59弄2號1樓","王秀芸","10000000","1040904"
"187","05512732","川佳機械股份有限公司","新北市五股區中興路1段8號9樓之9　","張周麗香","50000000","1040918"
"188","05592088","白馬製造股份有限公司","臺中市南屯區寶山里工業區25路16號","李明堂","20000000","1040910"
"189","05627621","沙城企業有限公司","臺北市中正區汀州路1段48號7樓","林期男","50000000","1040917"
"190","05634947","憬興投資股份有限公司","臺北市中正區寧波西街120號2樓","李錫祿","55843190","1040923"
"191","05635283","時序產品開發有限公司","臺北市大同區重慶北路2段48號11樓之2","黃兟發","5000000","1040923"
"192","05693044","宏樺興業股份有限公司","臺中市潭子區大豐里潭富路2段81巷9弄6號","林振祿","20000000","1040916"
"193","05708861","麥威宴會服務有限公司","新北市中和區永和路207之1號","呂美成","2000000","1040907"
"194","05709806","叡華商務股份有限公司","臺北市大安區仁愛路4段112巷50號3樓之1","姜淑貞","10000000","1040903"
"195","05717502","大聚化學纖維股份有限公司","臺北市大安區敦化南路2段207號34樓","鄭澄宇","652285360","1040925"
"196","05718827","太登化工股份有限公司","桃園市龜山區大華里忠義路二段240巷12號","何俐均","12000000","1040903"
"197","05719537","匯順倉儲股份有限公司","臺北市中山區松江路67號6樓之3","王清司","10000000","1040904"
"198","05721528","遠鼎租賃股份有限公司","新北市板橋區新站路16號20樓","王健誠","794500000","1040909"
"199","05795788","勝瓏包裝事業有限公司","臺中市沙鹿區埔子里明秀一街65號","李欽成","12000000","1040908"
"200","05831840","欽元造機股份有限公司","臺中市大里區內新里新仁路2段241巷1號","林元倉","10000000","1040915"
"201","05833523","長驥企業有限公司","臺中市太平區新光路60號1樓","黃柄誠","5000000","1040922"
"202","05838816","至光工具股份有限公司","臺中市大里區大元里國中一路46巷88號","謝慶豐","35000000","1040908"
"203","05871103","皓強企業有限公司","臺中市石岡區萬仙街18之1號1樓","鍾埔華","6000000","1040915"
"204","05912147","維明醫療儀器有限公司","彰化縣彰化市中山路2段12號","許芳齡","3000000","1040925"
"205","05915329","志昇特殊美術印刷股份有限公司","彰化縣彰化市卦山里公園路1段291號","蔡素貴","5000000","1040901"
"206","05916798","精曜工業有限公司","彰化縣花壇鄉中庄村中山路一段12巷51號","花淑子","6000000","1040902"
"207","05943599","金橋陽工業股份有限公司","彰化縣福興鄉福寶村新生路14-2號","陳建志","3000000","1040915"
